"%s was successfully added to your shopping cart.","%s fue agregado con éxito al carrito de compras."
"&laquo; Back to Billing Information","&laquo; Volver a la Información de la facturación"
"&laquo; Back to Select Addresses","&laquo; Volver para selecconar direcciones"
"&laquo; Back to Shopping Cart","&laquo; Volver al Carrito de Compras"
"* Required Fields","* Campos Requeridos"
"Add New Address","Agregar nuevas direcciones"
"Add New Condition","Add New Condition"
"Add to Cart","Agregar al carrito"
"Add to Compare","Agregar a la lista de comparación"
"Add to Wishlist","Agregar a la lista de deseos"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"After adding a product redirect to shopping cart","Después de agregar un producto, regresar al carrito de compras"
"Allow Guest Checkout","Permitir comprar a los invitados"
"Already registered?","Ya se encuentra registrado?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","Aplicar un cupón"
"Are you sure you would like to remove this item from the shopping cart?","Está seguro de borrar este artículo de su carrito de compras?"
"Back","Volver atrás"
"Back to Shipping Information","Volver a la información de envío"
"Based on your selection, you may be interested in the following items:","Probablemente le interesen también los siguientes artículos:"
"Billing Address","Dirección de facturación"
"Billing Information","Información  de facturación"
"Billing Information - %s","Información  de facturación - %s"
"Can not add item to shopping cart","No se puede agregar el artículo al carrito de compras"
"Can not apply coupon code.","No se puede aplicar el código del cupón."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Cancelar cupón"
"Cannot remove item","No se puede quitar el artículo"
"Cannot update shopping cart","No se puede actualizar el carrito de compras"
"Card Verification Number Visual Reference","Referencia visual del número de verificación de la tarjeta"
"Cart Subtotal:","Subtotal del carrito:"
"Change","Change"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkbox text","Checkbox text"
"Checkout","Realizar Pedido"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Opciones de Compra"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Realizar Pedido como Invitado"
"Checkout as a Guest or Register","Realizar Pedido como Invitado o Registrarse"
"Checkout method","Método de efectuar la compra"
"Checkout with Multiple Addresses","Comprar con múltiples direcciones"
"City","Ciudad"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Haga clic <a href=""%s"" onclick=""this.target='_blank'"">acá para imrpimir</a> una copia de la orden de confirmación."
"Clear Shopping Cart","Limpiar el carrito de compras"
"Close","Cerrar"
"Company","Compañia"
"Condition Name","Condition Name"
