"Latest Posts","Ultimas Entradas"
"View cart","Ver el carrito"
"Recently added item(s)","Productos recién agregados"
"You have no items in your shopping cart.","No tiene productos en el carrito."
'There is <a href="%s">1 item</a> in your cart.','Hay <a href="%s">1 producto</a> en su carrito.'
'There are <a href="%s">%s items</a> in your cart.','Hay <a href="%s">%s productos</a> en su carrito.'
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","EL VALOR TOTAL SE MOSTRARA ANTES DE ENVIAR EL PEDIDO"
"%s item(s) - %s","%s item(s) - %s"
"Tags :","Etiquetas :"
"Read more...","Ver más"
"Last Update","Ultima actualización"
"Read","Leído"
"Times","veces"
"Published In","Publicado en"
"More post in same category","Otras entradas en ésta categoría"
"Related by tags","Relacionado por etiquetas"
"The post could not existed in our system","La entrada no existe"
"Leave a comment","Haga su comentario"
"Comments","Comentarios"
"Make sure you enter the (*) required information where indicated. HTML code is not allowed.","Asegúrese de ingresar la información requerida donde se indica. Código HTML no está permitido."
